28105,35.115566, -80.713926
28107,35.252964, -80.518034
28108,34.934781, -80.681183
28109,35.496966, -80.288530
28110,35.066044, -80.509089
28112,34.889925, -80.549548
28114,35.230441, -81.747702
28115,35.585910, -80.772464
28117,35.565695, -80.898335
28119,34.851078, -80.016985
28120,35.328685, -81.026385
28124,35.399738, -80.408631
28125,35.659025, -80.698613
28127,35.474303, -80.190581
28128,35.210696, -80.154523
28129,35.231663, -80.327162
28133,34.844926, -80.265681
28134,35.087361, -80.896140
28135,35.029760, -80.217276
28137,35.563109, -80.236391
28138,35.514441, -80.437354
28139,35.348363, -81.994737
28144,35.706685, -80.464788
28146,35.619243, -80.393345
28147,35.681060, -80.563015
28150,35.342703, -81.576248
28152,35.242720, -81.599412
28159,35.694752, -80.431873
28160,35.361006, -81.922332
28163,35.207494, -80.428517
28164,35.389444, -81.037135
28166,35.680343, -80.868179
28167,35.506751, -81.967285
28168,35.552360, -81.425071
28169,35.358470, -81.429395
28170,34.998714, -80.098785
28173,34.916155, -80.731415
28174,34.969035, -80.439580
28202,35.227271, -80.844194
28203,35.208185, -80.859107
28204,35.214620, -80.827014
28205,35.218791, -80.789601
28206,35.256127, -80.820999
28207,35.194148, -80.824585
28208,35.230466, -80.907243
28209,35.178714, -80.853985
28210,35.130509, -80.856685
28211,35.166342, -80.797285
28212,35.187703, -80.744556
28213,35.285986, -80.734388
28214,35.275252, -80.968144
28215,35.244979, -80.693471
28216,35.312103, -80.888711
28217,35.168896, -80.908285
28226,35.102697, -80.822129
28227,35.189567, -80.645408
28244,35.224605, -80.843094
28262,35.322061, -80.739981
28269,35.337313, -80.803472
28270,35.112079, -80.764415
28273,35.127358, -80.946846
28277,35.052875, -80.817552
28278,35.133432, -81.009357
28280,35.226332, -80.843091
